Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,latitude,longitude,zipcode,pop2016,pop2010,pop2000,cost_living_index (US avg. = 100),land_area (sq.mi.),water_area (sq.mi.),pop_density (people per mile),number of males,number of females,prop taxes paid 2016,median taxes (with mortgage,median taxes (no mortgage),median house value,median houshold income,median monthly owner costs (with mortgage),median monthly owner costs (no mortgage),median gross rent,median asking price for vacant for-sale home/condo,unemployment (%),Number of Homes,Count of Abnb,Density of Abnb (%),Average Abnb Price (by zipcode),Average NumReviews (by zipcode),Average Rating (by zipcode),Average Number of Bathrooms (by zipcode),Average Number of Bedrooms (by zipcode),Average Number of Beds (by zipcode),Average Number of Guests (by zipcode)
1.0,1.0,2.0,Brooklyn,2.0,70.0,43.0,N,40.64492,-73.99611999999999,11219,97668.0,92221.0,85987,182.7,1.5,0.0,65900,49599,48069,0.7,5655.0,5805.0,874274.0,38090.0,2896.0,995.0,1339.0,696821.0,5.0,39067.2,34,0.087029529,68.90625,27.68421053,4.65625,1.176470588,1.258064516,1.911764706,1.911764706
1.0,1.0,1.0,New Orleans,2.0,62.0,79.0,Y,29.95512,-90.13489,70118,36182.0,33008.0,36847,102.7,4.7,0.7,7724,16863,19318,0.9,3748.0,2036.0,348955.0,41945.0,2155.0,586.0,999.0,453518.0,7.2,14472.8,388,2.680891051,143.8441558,40.36936937,4.885350318,1.343669251,1.97574124,2.548969072,2.548969072
1.0,1.0,1.0,Philadelphia,2.0,117.0,60.0,Y,39.94393,-75.17388000000001,19103,23239.0,21908.0,19714,112.3,0.6,0.0,36367,10223,13015,0.9,5126.0,3242.0,521102.0,73681.0,2940.0,795.0,1601.0,362650.0,2.9,9295.6,105,1.129566677,84.30392157,101.4851485,4.79,1.114285714,1.43902439,1.876190476,1.876190476
3.0,2.0,3.0,Seattle,4.0,13.0,230.0,Y,47.64292,-122.32565,98102,24374.0,20756.0,19424,117.0,1.3,0.3,18802,13011,11363,0.8,4279.0,4550.0,521657.0,80565.0,2278.0,861.0,1393.0,613354.0,2.7,9749.6,217,2.2257323380000003,131.5,59.58510638,4.860655738,1.4074074069999998,1.544973545,1.792626728,1.792626728
3.0,4.0,6.0,Washington,16.0,136.0,433.0,Y,38.91046,-77.01933000000001,20001,45643.0,38551.0,33550,123.8,2.2,0.1,20929,22223,23419,0.5,3473.0,2753.0,649740.0,96366.0,2637.0,638.0,1741.0,979244.0,4.9,18257.2,382,2.09232522,123.0738786,68.04273504,4.828488372,1.206806283,1.374301676,2.282722513,2.282722513
1.0,,3.0,New Orleans,5.0,18.0,85.0,Y,29.92025,-90.12587,70115,34248.0,31695.0,40287,102.1,3.9,0.6,8832,17038,17209,0.9,3992.0,3332.0,423985.0,57779.0,2268.0,695.0,1105.0,433344.0,4.6,13699.2,435,3.175367905,144.1786543,43.69554455,4.893483709,1.35862069,1.904645477,2.524137931,2.524137931
1.0,2.0,4.0,New Orleans,6.0,107.0,119.0,Y,29.96864,-90.10408,70125,16992.0,14479.0,23887,102.6,2.3,0.0,7252,8064,8927,0.8,3109.0,1746.0,318322.0,38122.0,2070.0,573.0,971.0,223889.0,7.1,6796.8,327,4.811087571,117.5603715,39.42605634,4.838709677,1.327217125,2.078431373,2.706422018,2.706422018
1.0,1.0,4.0,New Orleans,2.0,79.0,19.0,N,29.97265,-90.06365,70116,11761.0,11507.0,16688,102.7,1.3,0.1,9105,6321,5440,0.8,2543.0,2041.0,276478.0,32017.0,1874.0,554.0,919.0,203035.0,10.7,4704.4,703,14.94345719,94.17191977,83.96723869,4.823667712,1.211126961,1.524242424,2.06685633,2.06685633
1.0,,1.0,New Orleans,3.0,49.0,50.0,Y,29.97222,-90.10684,70119,37419.0,36228.0,50175,101.4,4.5,0.0,8368,19151,18268,0.6,1778.0,1139.0,244735.0,33708.0,1588.0,442.0,986.0,192284.0,6.8,14967.6,829,5.538630108,109.8454988,49.68790637,4.878179384,1.249698432,1.84828496,2.343787696,2.343787696
1.0,,1.0,San Diego,2.0,106.0,70.0,Y,32.73911,-117.11894,92104,46444.0,44414.0,47688,137.8,3.8,0.0,12271,23469,22975,0.5,3281.0,1746.0,551513.0,54187.0,2272.0,419.0,1189.0,346332.0,5.6,18577.6,391,2.104685212,118.6311688,56.503125,4.920711974,1.153846154,1.51744186,1.792838875,1.792838875
1.0,,1.0,Berkeley,2.0,123.0,108.0,Y,37.87645,-122.29959,94130,3134.0,2880.0,1453,144.2,0.9,0.0,3405,1762,1372,0.6,,,,51315.0,,,1919.0,3898250.0,9.7,1253.6,4143,330.488194,117.6974026,43.55297486,4.837385538,1.189231573,1.461605081,1.775991703,1.775991703
2.0,1.0,1.0,South San Francisco,2.0,78.0,59.0,Y,37.64041,-122.44874,94112,85205.0,79407.0,73104,154.3,3.4,0.0,25329,42842,42363,0.6,5161.0,2870.0,733316.0,80598.0,2636.0,471.0,1647.0,833728.0,6.5,34082.0,478,1.402499853,120.5779221,55.12594458,4.797979798,1.219088937,1.515625,1.896995708,1.896995708
1.0,1.0,1.0,Seattle,4.0,80.0,69.0,Y,47.61422,-122.34978999999998,98121,14888.0,12628.0,8558,115.8,0.4,0.2,33788,8555,6333,0.7,3270.0,4937.0,482033.0,90136.0,2392.0,1000.0,1539.0,667147.0,3.0,5955.2,130,2.182966147,114.8527132,70.88695652,4.777272727,1.069230769,1.174603175,1.4923076919999998,1.4923076919999998
1.0,1.0,1.0,San Diego,4.0,6.0,150.0,Y,32.71979,-117.1589,92101,37385.0,37095.0,27494,136.9,4.7,0.2,7926,21906,15481,0.9,4808.0,5069.0,538860.0,59582.0,2718.0,1002.0,1461.0,609160.0,4.8,14954.0,708,4.734519192,124.1310541,52.78267974,4.779187817,1.223011364,1.434782609,2.131355932,2.131355932
1.0,1.0,1.0,New York,2.0,5.0,35.0,Y,40.85812,-73.92835,10040,45678.0,41905.0,46599,154.4,0.4,0.0,121195,21317,24360,0.6,4179.0,1639.0,396126.0,47711.0,1644.0,299.0,1277.0,341240.0,7.9,18271.2,97,0.530890144,81.85106383,22.18309859,4.730769231,1.030927835,1.056818182,1.329896907,1.329896907
1.0,1.0,1.0,Brooklyn,2.0,6.0,45.0,Y,40.71474,-73.95476,11211,101397.0,90117.0,85089,169.6,2.3,0.1,44118,50855,50543,0.2,1244.0,3293.0,935985.0,61645.0,2972.0,845.0,1571.0,826418.0,4.5,40558.8,183,0.451196781,110.0454545,59.97619048,4.832298137,1.049450549,1.236686391,1.491803279,1.491803279
1.0,1.0,1.0,Oakland,2.0,146.0,155.0,Y,37.83981,-122.25344,94130,3134.0,2880.0,1453,144.2,0.9,0.0,3405,1762,1372,0.6,,,,51315.0,,,1919.0,3898250.0,9.7,1253.6,4143,330.488194,117.6974026,43.55297486,4.837385538,1.189231573,1.461605081,1.775991703,1.775991703
1.0,3.0,4.0,San Diego,6.0,8.0,283.0,Y,32.81658,-117.18674,92117,55270.0,51332.0,51203,135.2,8.8,0.0,6289,28137,27133,0.5,3569.0,1419.0,559061.0,69047.0,2216.0,431.0,1463.0,537896.0,5.7,22108.0,262,1.18509137,123.6015936,30.56684492,4.835329341,1.357692308,1.692307692,2.045801527,2.045801527
1.0,2.0,2.0,New Orleans,4.0,14.0,100.0,Y,29.9343,-90.10739,70115,34248.0,31695.0,40287,102.1,3.9,0.6,8832,17038,17209,0.9,3992.0,3332.0,423985.0,57779.0,2268.0,695.0,1105.0,433344.0,4.6,13699.2,435,3.175367905,144.1786543,43.69554455,4.893483709,1.35862069,1.904645477,2.524137931,2.524137931
1.0,1.0,1.0,San Diego,2.0,6.0,60.0,Y,32.81203,-117.26332,92037,39213.0,46781.0,42603,144.2,13.1,2.0,3001,18495,20718,0.6,8596.0,6399.0,1312466.0,106541.0,3822.0,1114.0,1873.0,1683614.0,3.8,15685.2,167,1.064697932,182.1202532,57.77564103,4.881578947,1.550898204,2.087248322,2.8982035930000003,2.8982035930000003
1.0,2.0,2.0,Seattle,4.0,13.0,150.0,Y,47.69305,-122.34006,98103,50072.0,45911.0,41971,117.7,4.6,0.7,10802,24922,25149,0.8,4700.0,5256.0,613335.0,87557.0,2290.0,704.0,1387.0,586517.0,2.5,20028.8,249,1.243209778,112.0367347,46.40669856,4.868159204,1.204819277,1.545851528,1.863453815,1.863453815
1.0,1.0,2.0,Miami,4.0,5.0,150.0,N,25.94861,-80.15038,33141,40307.0,35249.0,36545,111.9,2.3,5.2,17406,21026,19282,0.9,2806.0,2559.0,313216.0,43893.0,2038.0,804.0,1163.0,2404330.0,4.6,16122.8,829,5.141786786,123.4434889,25.91878981,4.756521739,1.507246377,1.754226268,2.530193237,2.530193237
1.0,1.0,1.0,New York,2.0,38.0,115.0,Y,40.72915,-74.00106,10012,24887.0,24090.0,26000,169.4,0.3,0.0,76982,12790,12097,0.7,10587.0,10810.0,1467298.0,106039.0,3483.0,1279.0,2200.0,2955801.0,3.7,9954.8,122,1.225539438,179.3833333,49.72072072,4.724770642,1.06557377,1.315315315,1.680327869,1.680327869
1.0,1.0,1.0,Philadelphia,2.0,58.0,34.0,N,39.98405,-75.14516,19122,22392.0,21653.0,19589,105.3,1.3,0.0,17642,11119,11273,0.6,1025.0,897.0,170704.0,34836.0,1060.0,380.0,776.0,198075.0,9.9,8956.8,52,0.5805644870000001,65.65384615,59.67346939,4.802083333,1.403846154,1.6,2.269230769,2.269230769
2.0,2.0,2.0,Seattle,4.0,22.0,350.0,N,47.63752,-122.32994,98102,24374.0,20756.0,19424,117.0,1.3,0.3,18802,13011,11363,0.8,4279.0,4550.0,521657.0,80565.0,2278.0,861.0,1393.0,613354.0,2.7,9749.6,217,2.2257323380000003,131.5,59.58510638,4.860655738,1.4074074069999998,1.544973545,1.792626728,1.792626728
1.0,1.0,1.0,San Francisco,2.0,131.0,79.0,Y,37.74498,-122.41927,94110,74565.0,69333.0,74633,155.3,2.3,0.0,32066,40024,34542,0.6,7115.0,3076.0,983378.0,101610.0,3197.0,534.0,1585.0,1501646.0,5.0,29826.0,461,1.545631328,162.1862528,75.53395785,4.891509434,1.23059867,1.4613583140000002,1.791574279,1.791574279
1.0,,1.0,New York,3.0,16.0,165.0,Y,40.76025,-73.97010999999999,10022,30696.0,31924.0,30642,159.1,0.4,0.0,70344,13709,16985,1.0,8521.0,10717.0,1003357.0,128824.0,2955.0,1039.0,2466.0,1870110.0,3.1,12278.4,73,0.594540005,154.5342466,46.23809524,4.708333333,1.123287671,1.31372549,1.7808219180000002,1.7808219180000002
1.0,1.0,2.0,New York,4.0,76.0,50.0,Y,40.84497,-73.93934,10032,64095.0,57331.0,63842,157.3,0.7,0.0,97487,32331,31764,0.8,5095.0,,419656.0,41716.0,1987.0,361.0,1169.0,382930.0,9.0,25638.0,80,0.31203682,74.75641026,49.82089552,4.8046875,1.0125,1.118421053,1.275,1.275
2.0,3.0,4.0,San Mateo,6.0,64.0,170.0,Y,37.57155,-122.32155,94134,42274.0,40798.0,40134,155.2,2.4,0.0,17616,20688,21586,0.6,5453.0,1813.0,693470.0,69701.0,2553.0,415.0,1437.0,635000.0,6.8,16909.6,1101,6.51109429,154.094518,48.45338442,4.845794393,1.322878229,1.549407115,1.934862385,1.934862385
1.0,2.0,5.0,Tacoma,6.0,23.0,84.0,Y,47.26748,-122.46214,98146,27849.0,25922.0,25574,114.4,4.7,0.7,5988,14103,13746,1.0,3442.0,3576.0,350398.0,62632.0,1857.0,623.0,1077.0,513920.0,5.3,11139.6,129,1.158030809,91.5546875,47.9266055,4.90952381,1.325581395,1.594827586,2.147286822,2.147286822
1.0,1.0,1.0,San Diego,2.0,6.0,45.0,Y,32.8491,-117.20364,92122,47992.0,43728.0,34891,138.5,15.9,0.0,3013,24639,23353,0.6,4567.0,3242.0,697910.0,76816.0,2389.0,574.0,1878.0,695311.0,4.0,19196.8,284,1.479413236,117.4548736,28.14364641,4.809815951,1.3498233219999998,1.498194946,2.017605634,2.017605634
1.0,2.0,3.0,Berkeley,4.0,49.0,108.0,Y,37.85759,-122.2735,94130,3134.0,2880.0,1453,144.2,0.9,0.0,3405,1762,1372,0.6,,,,51315.0,,,1919.0,3898250.0,9.7,1253.6,4143,330.488194,117.6974026,43.55297486,4.837385538,1.189231573,1.461605081,1.775991703,1.775991703
2.0,4.0,6.0,Metairie,12.0,28.0,250.0,Y,30.0068,-90.12999,70124,20988.0,16824.0,22951,100.2,6.7,1.1,3152,10095,10892,0.9,3892.0,3355.0,407225.0,90895.0,2258.0,767.0,1396.0,432662.0,3.0,8395.2,130,1.548503907,140.5581395,31.90825688,4.836633663,1.3,1.721311475,2.253846154,2.253846154
1.0,1.0,1.0,San Bruno,2.0,185.0,38.0,Y,37.62532,-122.40703,94134,42274.0,40798.0,40134,155.2,2.4,0.0,17616,20688,21586,0.6,5453.0,1813.0,693470.0,69701.0,2553.0,415.0,1437.0,635000.0,6.8,16909.6,1101,6.51109429,154.094518,48.45338442,4.845794393,1.322878229,1.549407115,1.934862385,1.934862385
1.0,2.0,3.0,Foster City,5.0,31.0,210.0,N,37.54698,-122.27842,94134,42274.0,40798.0,40134,155.2,2.4,0.0,17616,20688,21586,0.6,5453.0,1813.0,693470.0,69701.0,2553.0,415.0,1437.0,635000.0,6.8,16909.6,1101,6.51109429,154.094518,48.45338442,4.845794393,1.322878229,1.549407115,1.934862385,1.934862385
1.0,,1.0,Bronx,2.0,20.0,105.0,Y,40.80888,-73.93141,10037,20400.0,17416.0,16984,159.0,0.3,0.0,77277,8890,11509,0.8,,4019.0,457282.0,41100.0,3020.0,,1104.0,825936.0,10.0,8160.0,104,1.274509804,111.8118812,31.227848100000003,4.7133333330000005,1.153846154,1.186813187,1.615384615,1.615384615
2.0,4.0,4.0,Washington,8.0,2.0,299.0,N,38.90675,-77.02494,20005,13250.0,12775.0,10610,123.2,0.4,0.0,31094,6723,6527,0.6,3560.0,3916.0,562612.0,94988.0,2652.0,728.0,1862.0,317067.0,2.3,5300.0,123,2.320754717,135.2682927,52.00917431,4.8,1.262295082,1.453703704,2.203252033,2.203252033
1.0,3.0,3.0,Brooklyn,4.0,8.0,165.0,Y,40.66368,-73.99266999999999,11215,70968.0,63488.0,63001,161.1,2.2,0.0,32581,34310,36657,0.4,3763.0,4409.0,1110796.0,112666.0,3087.0,873.0,2067.0,1399549.0,3.7,28387.2,175,0.616475031,128.3103448,51.33783784,4.854609929,1.040229885,1.4223602480000002,1.914285714,1.914285714
1.0,1.0,1.0,Philadelphia,2.0,28.0,80.0,Y,39.977540000000005,-75.13762,19122,22392.0,21653.0,19589,105.3,1.3,0.0,17642,11119,11273,0.6,1025.0,897.0,170704.0,34836.0,1060.0,380.0,776.0,198075.0,9.9,8956.8,52,0.5805644870000001,65.65384615,59.67346939,4.802083333,1.403846154,1.6,2.269230769,2.269230769
2.0,4.0,5.0,Atlanta,10.0,7.0,400.0,Y,33.774359999999994,-84.37387,30308,17280.0,15413.0,11796,98.0,1.6,0.0,10836,10075,7205,1.2,3155.0,2380.0,259718.0,59088.0,1713.0,665.0,1162.0,326958.0,4.6,6912.0,210,3.038194444,141.4285714,36.27329193,4.880794702,1.285714286,1.494680851,1.933333333,1.933333333
1.0,1.0,1.0,San Francisco,2.0,6.0,80.0,Y,37.74632,-122.4151,94110,74565.0,69333.0,74633,155.3,2.3,0.0,32066,40024,34542,0.6,7115.0,3076.0,983378.0,101610.0,3197.0,534.0,1585.0,1501646.0,5.0,29826.0,461,1.545631328,162.1862528,75.53395785,4.891509434,1.23059867,1.4613583140000002,1.791574279,1.791574279
1.0,1.0,1.0,San Francisco,2.0,140.0,139.0,Y,37.7331,-122.46063999999998,94127,20960.0,19289.0,20624,156.2,1.8,0.0,11839,10591,10368,0.6,8204.0,1808.0,1170842.0,144122.0,3746.0,520.0,2511.0,1425325.0,3.4,8384.0,145,1.729484733,166.6,81.18461538,4.865079365,1.220689655,1.5703125,1.855172414,1.855172414
1.0,1.0,1.0,Washington,2.0,94.0,128.0,Y,38.89183,-76.98301,20002,60514.0,52370.0,49333,123.6,5.3,0.2,11513,29267,31246,0.5,2898.0,2016.0,598906.0,80499.0,2322.0,490.0,1421.0,591482.0,6.3,24205.6,168,0.6940542679999999,95.78443114,63.90506329,4.881410256000001,1.113095238,1.294117647,1.803571429,1.803571429
1.0,1.0,1.0,New Orleans,2.0,27.0,,Y,30.00357,-90.08233,70122,37303.0,28564.0,46533,98.4,7.1,1.0,5289,17107,20194,0.7,1434.0,1075.0,191570.0,39401.0,1437.0,465.0,957.0,155996.0,9.3,14921.2,494,3.310725679,117.9173554,38.60277136,4.911330049,1.374745418,2.138004246,2.684210526,2.684210526
1.0,1.0,1.0,San Diego,2.0,6.0,99.0,Y,32.75945,-117.07364,92115,65333.0,58560.0,56883,136.5,6.5,0.0,10049,32550,32783,0.6,3126.0,1563.0,458392.0,48944.0,2164.0,417.0,1208.0,610713.0,6.7,26133.2,210,0.803575528,94.32195122,26.84397163,4.867768595,1.233333333,1.468085106,1.7,1.7
2.0,2.0,2.0,San Francisco,4.0,26.0,395.0,Y,37.76323,-122.44424,94117,43944.0,39169.0,38738,156.4,1.7,0.0,26041,23111,20833,0.6,8333.0,4956.0,1205027.0,127338.0,3789.0,906.0,1952.0,1173153.0,4.2,17577.6,458,2.605588931,181.9954442,78.35,4.883838384,1.427927928,1.4302884619999998,1.653932584,1.653932584
1.0,1.0,1.0,Washington,1.0,129.0,48.0,Y,38.90537,-77.02523000000001,20005,13250.0,12775.0,10610,123.2,0.4,0.0,31094,6723,6527,0.6,3560.0,3916.0,562612.0,94988.0,2652.0,728.0,1862.0,317067.0,2.3,5300.0,123,2.320754717,135.2682927,52.00917431,4.8,1.262295082,1.453703704,2.203252033,2.203252033
1.0,,2.0,Silver Spring,4.0,4.0,82.0,Y,38.99762,-77.03062,20012,14664.0,13414.0,13604,123.4,2.3,0.0,6486,7029,7634,0.5,3105.0,2356.0,641194.0,83703.0,2632.0,554.0,1264.0,257074.0,6.5,5865.6,84,1.43207856,97.86746988,21.1509434,4.802083333,1.168674699,1.35,1.666666667,1.666666667
1.0,1.0,1.0,Boston,2.0,365.0,125.0,N,42.36639,-71.05537,2113,7602.0,6915.0,6401,139.6,0.1,0.0,75487,3801,3800,0.9,4905.0,6026.0,575265.0,89666.0,2543.0,875.0,1837.0,808477.0,1.5,3040.8,71,2.334911865,153.49295769999998,84.75362319,4.710144928,1.112676056,1.7121212119999998,2.281690141,2.281690141
1.0,,1.0,Miami,2.0,38.0,50.0,N,25.73679,-80.2411,33132,11596.0,11165.0,5322,114.1,1.7,1.5,6799,6803,4794,1.1,4922.0,5435.0,481478.0,72916.0,2660.0,1259.0,1893.0,530742.0,3.3,4638.4,1634,35.22766471,115.1635572,37.41294643,4.791763792,1.317596567,1.584033613,2.14504284,2.14504284
1.0,1.0,1.0,New York,1.0,10.0,45.0,N,40.74998,-73.98529,10016,51167.0,54183.0,51217,158.8,0.5,0.0,96147,23210,27956,0.9,7131.0,6791.0,802796.0,106964.0,2717.0,1358.0,2522.0,1179287.0,3.4,20466.8,59,0.288271738,151.38181819999997,42.62264151,4.692307692,1.118644068,1.372093023,1.949152542,1.949152542
1.0,1.0,1.0,Washington,2.0,165.0,159.0,Y,38.91325,-77.04245,20036,5736.0,5435.0,3808,122.2,0.3,0.0,17231,2657,3078,0.6,2597.0,2825.0,441965.0,87500.0,2238.0,675.0,1882.0,317067.0,1.7,2294.4,132,5.753138075,139.030303,69.45454545,4.847107438,1.128787879,1.330357143,1.954545455,1.954545455
