,0
209,0.0
210,1.0
211,1.0
212,0.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,0.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,0.0
231,1.0
232,0.0
233,1.0
234,0.0
235,1.0
236,0.0
237,0.0
238,1.0
239,0.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,0.0
248,0.0
249,1.0
250,1.0
251,0.0
252,0.0
253,0.0
254,1.0
255,1.0
256,0.0
257,0.0
258,1.0
259,1.0
260,0.0
261,0.0
262,1.0
263,1.0
264,0.0
265,0.0
266,1.0
267,0.0
268,0.0
269,1.0
270,0.0
271,1.0
272,1.0
273,1.0
274,1.0
275,0.0
276,0.0
277,1.0
278,1.0
279,1.0
280,1.0
281,1.0
282,1.0
283,0.0
284,1.0
285,1.0
286,0.0
287,0.0
288,1.0
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,0.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
308,0.0
309,0.0
310,1.0
311,1.0
312,0.0
313,1.0
314,1.0
315,1.0
316,1.0
317,1.0
318,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,0.0
329,0.0
330,1.0
331,1.0
332,1.0
333,1.0
334,0.0
335,1.0
336,1.0
337,1.0
338,1.0
339,0.0
340,1.0
341,0.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,1.0
351,1.0
352,0.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,0.0
360,1.0
361,1.0
362,0.0
363,1.0
364,1.0
365,1.0
366,0.0
367,0.0
368,1.0
369,1.0
370,1.0
371,0.0
372,1.0
373,1.0
374,0.0
375,0.0
376,0.0
377,0.0
378,1.0
379,0.0
380,1.0
381,0.0
382,0.0
383,1.0
384,0.0
385,1.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,1.0
394,1.0
395,1.0
396,0.0
397,1.0
398,0.0
399,1.0
400,0.0
401,1.0
402,1.0
403,1.0
404,1.0
405,0.0
406,1.0
407,1.0
408,0.0
409,1.0
410,0.0
411,0.0
412,1.0
413,1.0
414,1.0
415,0.0
416,0.0
417,1.0
418,1.0
419,0.0
420,1.0
421,0.0
422,0.0
423,1.0
424,1.0
425,0.0
426,1.0
427,1.0
428,1.0
429,0.0
430,0.0
431,1.0
432,1.0
433,0.0
434,1.0
435,1.0
436,1.0
437,0.0
438,1.0
439,0.0
440,1.0
441,1.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,1.0
450,1.0
451,1.0
452,0.0
453,1.0
454,0.0
455,1.0
456,1.0
457,0.0
458,0.0
459,0.0
460,1.0
461,1.0
462,1.0
463,1.0
464,1.0
465,1.0
466,1.0
467,0.0
468,1.0
469,0.0
470,1.0
471,1.0
472,1.0
473,1.0
474,1.0
475,1.0
476,1.0
477,1.0
478,1.0
479,1.0
480,1.0
481,0.0
482,1.0
483,1.0
484,0.0
485,0.0
486,1.0
487,1.0
488,1.0
489,0.0
490,1.0
491,1.0
492,0.0
493,1.0
494,1.0
495,1.0
496,0.0
497,0.0
498,0.0
499,1.0
500,0.0
501,1.0
502,1.0
503,1.0
504,1.0
505,1.0
506,1.0
507,1.0
508,1.0
509,0.0
510,0.0
511,1.0
512,1.0
513,1.0
514,1.0
515,1.0
516,1.0
517,0.0
518,1.0
519,1.0
520,1.0
521,0.0
522,0.0
523,1.0
524,1.0
525,1.0
526,0.0
527,1.0
528,1.0
529,1.0
530,1.0
531,0.0
532,1.0
533,1.0
534,1.0
535,1.0
536,0.0
537,1.0
538,1.0
539,0.0
540,1.0
541,1.0
542,1.0
543,1.0
544,1.0
545,1.0
546,1.0
547,0.0
548,1.0
549,1.0
550,1.0
551,1.0
552,0.0
553,1.0
554,1.0
555,0.0
556,1.0
557,0.0
558,0.0
559,1.0
560,0.0
561,0.0
562,0.0
563,1.0
564,1.0
565,1.0
566,1.0
567,1.0
568,0.0
569,1.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,1.0
577,1.0
578,1.0
579,1.0
580,0.0
581,0.0
582,1.0
583,1.0
584,1.0
585,1.0
586,1.0
587,0.0
588,1.0
589,1.0
590,1.0
591,1.0
592,1.0
593,1.0
594,1.0
595,1.0
596,0.0
597,1.0
598,1.0
599,0.0
600,1.0
601,1.0
602,1.0
603,0.0
604,0.0
605,0.0
606,0.0
607,1.0
608,0.0
609,0.0
610,1.0
611,0.0
612,1.0
613,1.0
614,0.0
615,1.0
616,1.0
617,1.0
618,1.0
619,1.0
620,1.0
621,0.0
622,1.0
623,1.0
624,1.0
625,0.0
626,1.0
627,1.0
628,0.0
629,1.0
630,1.0
631,1.0
632,0.0
633,0.0
634,1.0
635,0.0
636,1.0
637,1.0
638,0.0
639,1.0
640,1.0
641,1.0
642,1.0
643,1.0
644,0.0
645,1.0
646,1.0
647,1.0
648,1.0
649,0.0
650,1.0
651,0.0
652,1.0
653,0.0
654,1.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,1.0
661,1.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,1.0
668,1.0
669,0.0
670,1.0
671,1.0
672,1.0
673,1.0
674,1.0
675,1.0
676,0.0
677,0.0
678,0.0
679,1.0
680,0.0
681,1.0
682,1.0
683,1.0
684,1.0
685,1.0
686,1.0
687,1.0
688,1.0
689,1.0
690,1.0
691,1.0
692,0.0
693,1.0
694,1.0
695,1.0
696,1.0
697,0.0
698,1.0
699,1.0
700,1.0
701,0.0
702,0.0
703,1.0
704,1.0
705,1.0
706,1.0
707,0.0
708,0.0
709,1.0
710,1.0
711,1.0
712,1.0
713,0.0
714,0.0
715,1.0
716,1.0
717,1.0
718,1.0
719,1.0
720,1.0
721,0.0
722,1.0
723,0.0
724,1.0
725,1.0
726,0.0
727,0.0
728,0.0
729,1.0
730,0.0
731,0.0
732,1.0
733,1.0
734,1.0
735,1.0
736,1.0
737,0.0
738,0.0
739,1.0
740,1.0
741,0.0
742,1.0
743,1.0
744,1.0
745,0.0
746,0.0
747,0.0
748,1.0
749,1.0
750,1.0
751,1.0
752,1.0
753,1.0
754,0.0
755,0.0
756,1.0
757,1.0
758,0.0
759,0.0
760,0.0
761,1.0
762,1.0
763,0.0
764,1.0
765,0.0
766,0.0
767,0.0
768,1.0
769,0.0
770,1.0
771,1.0
772,1.0
773,1.0
774,1.0
775,1.0
776,0.0
777,1.0
778,1.0
779,1.0
780,1.0
781,0.0
782,1.0
783,1.0
784,1.0
785,0.0
786,1.0
787,1.0
788,0.0
789,1.0
790,1.0
791,0.0
792,1.0
793,1.0
794,1.0
795,1.0
796,1.0
797,1.0
798,1.0
799,1.0
